id,name_en,name_am,school_type,curriculum,grades,language,sub_city,woreda,latitude,longitude,fee_range_etb,fee_range_usd,phone,email,website,established,verified,coordinates_accuracy,tags
30,Kidus Gabriel School,ቅዱስ ገብርኤል ትምህርት ቤት,private,Ethiopian,"KG - Grade 12","Amharic & English",Kirkos,04,9.0156,38.7623,"30,000 - 70,000","545 - 1,273",+251 11 553 2345,,,1975,false,medium,"private,orthodox,religious"
31,Medhane Alem School,መድኃኔ ዓለም ትምህርት ቤት,private,Ethiopian,"KG - Grade 12","Amharic & English",Bole,03,9.0056,38.7845,"35,000 - 80,000","636 - 1,455",+251 11 662 3456,,,1985,false,medium,"private,orthodox,religious"
32,St. Mary's School,ቅድስት ማርያም ትምህርት ቤት,private,Ethiopian,"KG - Grade 12","Amharic & English",Lideta,05,9.0156,38.7278,"28,000 - 65,000","509 - 1,182",+251 11 473 4567,,,1960,false,medium,"private,catholic,religious"
33,Bethel School,ቤቴል ትምህርት ቤት,private,Ethiopian,"KG - Grade 12","Amharic & English","Nifas Silk-Lafto",03,8.9812,38.7467,"30,000 - 70,000","545 - 1,273",+251 11 372 5678,,,1980,false,low,"private,protestant,religious"
34,Kidus Michael School,ቅዱስ ሚካኤል ትምህርት ቤት,private,Ethiopian,"KG - Grade 12","Amharic & English",Gulele,05,9.0589,38.7478,"25,000 - 60,000","455 - 1,091",+251 11 156 7890,,,1970,false,medium,"private,orthodox,religious"
35,Unity School,ዩኒቲ ትምህርት ቤት,private,Ethiopian,"KG - Grade 12","Amharic & English","Kolfe Keranio",08,9.0356,38.6978,"25,000 - 60,000","455 - 1,091",+251 11 414 6789,,,2005,false,low,"private,kolfe"
36,Excel School,ኤክሴል ስኩል,private,Ethiopian,"KG - Grade 12","Amharic & English",Yeka,04,9.0312,38.8067,"45,000 - 100,000","818 - 1,818",+251 11 647 8901,,,2010,false,low,"private,yeka,stem"
37,Rainbow School,ሬይንቦው ስኩል,private,Ethiopian,"KG - Grade 8","Amharic & English",Bole,09,9.0167,38.8167,"40,000 - 85,000","727 - 1,545",+251 11 661 9012,,,2012,false,low,"private,bole,elementary"
38,Tafari Makonnen Secondary School,ተፈሪ መኮንን ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,Kirkos,06,9.0189,38.7489,Free (registration fees only),Free,+251 11 551 2345,,,1925,false,medium,"public,government,historic,secondary"
39,Menelik II Secondary School,ምኒሊክ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,Arada,05,9.0434,38.7578,Free (registration fees only),Free,+251 11 156 3456,,,1908,false,medium,"public,government,historic,secondary"
40,General Wingate Secondary School,ጀነራል ዊንጌት ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,Kirkos,09,9.0223,38.7578,Free (registration fees only),Free,+251 11 551 5678,,,1946,false,medium,"public,government,historic,secondary"
41,Entoto Comprehensive Secondary School,እንጦጦ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,Gulele,06,9.0656,38.7467,Free (registration fees only),Free,+251 11 277 2345,,,1955,false,medium,"public,government,secondary"
42,Arat Kilo Comprehensive Secondary School,አራት ኪሎ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,Arada,08,9.0456,38.7612,Free (registration fees only),Free,+251 11 157 6789,,,1960,false,medium,"public,government,secondary"
43,Lideta Secondary School,ልደታ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,Lideta,06,9.0212,38.7256,Free (registration fees only),Free,+251 11 472 3456,,,1958,false,medium,"public,government,secondary"
44,Kotebe Secondary School,ቆጠቤ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,Yeka,11,9.0512,38.8334,Free (registration fees only),Free,+251 11 645 5678,,,1965,false,medium,"public,government,secondary"
45,Shola Secondary School,ሾላ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,Yeka,03,9.0312,38.8112,Free (registration fees only),Free,+251 11 646 7890,,,1968,false,medium,"public,government,secondary"
46,Bole Secondary School,ቦሌ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,Bole,01,8.9956,38.7878,Free (registration fees only),Free,+251 11 661 1234,,,1972,false,medium,"public,government,secondary"
47,Kirkos Secondary School,ቂርቆስ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,Kirkos,02,9.0145,38.7512,Free (registration fees only),Free,+251 11 552 8901,,,1969,false,medium,"public,government,secondary"
48,Gulele Secondary School,ጉለሌ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,Gulele,07,9.0656,38.7334,Free (registration fees only),Free,+251 11 277 5678,,,1971,false,medium,"public,government,secondary"
49,Kolfe Secondary School,ቆልፌ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,"Kolfe Keranio",03,9.0212,38.6912,Free (registration fees only),Free,+251 11 413 7890,,,1970,false,medium,"public,government,secondary"
50,Akaki Secondary School,አቃቂ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,"Akaki Kaliti",07,8.9134,38.7978,Free (registration fees only),Free,+251 11 441 5678,,,1975,false,medium,"public,government,secondary"
51,Nifas Silk Secondary School,ንፋስ ስልክ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,"Nifas Silk-Lafto",04,8.9756,38.7289,Free (registration fees only),Free,+251 11 371 4567,,,1974,false,medium,"public,government,secondary"
52,Addis Ketema Secondary School,አዲስ ከተማ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,"Addis Ketema",05,9.0434,38.7178,Free (registration fees only),Free,+251 11 276 8901,,,1967,false,medium,"public,government,secondary"
53,Yeka Secondary School,የካ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,Yeka,09,9.0456,38.8289,Free (registration fees only),Free,+251 11 648 9012,,,1980,false,medium,"public,government,secondary"
54,Haile Selassie I Secondary School,ቀዳማዊ ኃይለ ሥላሴ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,Arada,03,9.0378,38.7534,Free (registration fees only),Free,+251 11 155 1234,,,1930,false,medium,"public,government,historic,secondary"
55,Megenagna Primary School,መገናኛ አንደኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 1 - Grade 8",Amharic,Yeka,01,9.0267,38.8023,Free,Free,+251 11 645 1234,,,1978,false,medium,"public,government,primary"
56,Sidist Kilo Primary School,ስድስት ኪሎ አንደኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 1 - Grade 8",Amharic,Arada,09,9.0456,38.7623,Free,Free,+251 11 122 3456,,,1962,false,medium,"public,government,primary"
57,Merkato Primary School,መርካቶ አንደኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 1 - Grade 8",Amharic,"Addis Ketema",03,9.0389,38.7245,Free,Free,+251 11 275 6789,,,1955,false,medium,"public,government,primary"
58,Gerji International School,ገርጂ ኢንተርናሽናል ስኩል,private,"Ethiopian & International","KG - Grade 12","English & Amharic",Bole,11,9.0212,38.8289,"80,000 - 180,000","1,455 - 3,273",+251 11 668 1234,,,2014,false,low,"private,bole,bilingual"
59,CMC Michael School,ሲኤምሲ ሚካኤል ትምህርት ቤት,private,Ethiopian,"KG - Grade 12","Amharic & English",Yeka,09,9.0489,38.8234,"40,000 - 90,000","727 - 1,636",+251 11 649 5678,,,2008,false,low,"private,yeka,CMC"
60,Addis International School,አዲስ ኢንተርናሽናል ስኩል,international,"American & IB","KG - Grade 12",English,Bole,05,9.0078,38.8034,"200,000 - 480,000","3,636 - 8,727",+251 11 663 4567,admissions@addisintl.edu.et,addisintl.edu.et,2001,false,low,"international,american,IB"
61,Hayat School,ሃያት ትምህርት ቤት,private,Ethiopian,"KG - Grade 12","Amharic & English",Bole,06,9.0056,38.7967,"50,000 - 110,000","909 - 2,000",+251 11 663 8901,,,2006,false,low,"private,bole"
62,Kality Secondary School,ቃሊቲ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,"Akaki Kaliti",03,8.9012,38.7834,Free (registration fees only),Free,+251 11 442 6789,,,1980,false,medium,"public,government,secondary"
63,Lafto Secondary School,ላፍቶ ሁለተኛ ደረጃ ትምህርት ቤት,public,"Ethiopian (Government)","Grade 9 - Grade 12",Amharic,"Nifas Silk-Lafto",08,8.9689,38.7156,Free (registration fees only),Free,+251 11 373 4567,,,1977,false,medium,"public,government,secondary"
64,Olympia School,ኦሊምፒያ ትምህርት ቤት,private,Ethiopian,"KG - Grade 12","Amharic & English",Kirkos,10,9.0234,38.7745,"45,000 - 100,000","818 - 1,818",+251 11 554 2345,,,1997,false,low,"private,kirkos,sports"
65,Tsehay School,ፀሐይ ትምህርት ቤት,private,Ethiopian,"KG - Grade 12","Amharic & English",Gulele,08,9.0689,38.7523,"28,000 - 65,000","509 - 1,182",+251 11 278 5678,,,2003,false,low,"private,gulele"
